Produk Makanan,Preferensi,Harga,Restoran,Rating,Lokasi,URL_Gambar
Sate B2 ,Indonesia,12000,Toba Tabo,5,"Jl. Ipda Tut Harsono, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://img-global.cpcdn.com/recipes/577c6cada6de0206/1200x630cq70/photo.jpg
Philly Cheese Steak,Western,52000,Burgerax Imogiri Timur,"4,7","Jl. Imogiri Tim. No.km 6, RW.9, Nglebeng, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",https://www.simplyrecipes.com/thmb/4QRPMwVS6qgbFr2mQVi7hVzuh_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Philly-Cheesesteak-LEAD-2-b182ca21d19344159d44efd361db1477.jpg
Bomb Burger,Western,52000,Burgerax Imogiri Timur,"5,7","Jl. Imogiri Tim. No.km 6, RW.9, Nglebeng, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",https://images.tokopedia.net/img/cache/700/VqbcmM/2022/9/6/31d0c0f6-da93-4c56-aa8a-78e909e66c73.jpg
Pulung Barbeque,Western,85000,Pulung Steak & Ribs,"4,1","Jl. Affandi No.55, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8e985948-b30a-4dad-8961-33eced57299c_Go-Biz_20220131_073900.jpeg
Spaghetti Steak Sauce Brown,Western,21000,Pulung Steak & Ribs,"4,1","Jl. Affandi No.55, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://d31qjkbvvkyanm.cloudfront.net/images/recipe-images/ny-strip-steak-with-spaghetti-detail-2c85ae60.jpg
Nasi Gudek ,Indonesia,21600,"Gudeg Yu Narni, Ngasem","4,9","Jl Ngasem No 54 B, Kraton, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtMcTBIt-BHKn7NhOyeE5fOTxOUNzIU6-dCw&s
Martabak telur,Indonesia,40000,"Martabak Pak Ali, Taman SIswa","4,8","Jl Taman Siswa (Sebrang Hotel Prime Cailendra), Mergangsan, Yogyakarta",https://asset.kompas.com/crops/ewuCt68kFfhq7qOqenylBi2GMbs=/34x24:651x436/750x500/data/photo/2020/12/08/5fcf53204e904.jpg
Martabak manis,Indonesia,28000,"Martabak Pak Ali, Taman SIswa","4,8","Jl Taman Siswa (Sebrang Hotel Prime Cailendra), Mergangsan, Yogyakarta",https://cdn0-production-images-kly.akamaized.net/o0wGMbhMBXM7zFo_O2xzWxJMq-4=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2526959/original/071062500_1544648799-resep-martabak-manis-praktis-tanpa-telur-anti-gagal.jpg
Mie ayam yamin pedas,Indonesia,28000,"Mie ayam Bandung 59, Beskalan","4,9","Jl Beskalan No 35, Gondomanan, Yogyakarta",https://awsimages.detik.net.id/community/media/visual/2023/03/04/resep-mie-ayam-rica_43.jpeg?w=600&q=90
Mie Pangsit Chili Oil,Indonesia,23000,"Mie ayam Bandung 59, Beskalan","4,9","Jl Beskalan No 35, Gondomanan, Yogyakarta",https://cdn.idntimes.com/content-images/post/20231017/snapinstaapp-373585775-316752451037908-2440360421675798270-n-1080-f781e4754ac4c54755cf3edfc151d1d2.jpg
Nasi campur,Indonesia,33000,"Mie ayam Bandung 59, Beskalan","4,9","Jl Beskalan No 35, Gondomanan, Yogyakarta",https://awsimages.detik.net.id/community/media/visual/2023/02/07/nasi-campur-bali-3_169.png?w=1200
Nasi sate Buntel,Indonesia,27500,"Sate Bundel 69, Beskalen","4,8","Jl Beskalan No 16, Gondomanan, Yogyakarta",https://asset.kompas.com/crops/13s3VjlTLJDabBTBmmS08XphFVY=/0x0:1000x667/750x500/data/photo/2020/07/30/5f2242077ea7b.jpg
Nasi Lotek Bakwan,Indonesia,21350,"Lotek pedas Bu Tarti, Kasihan","4,9",Gang Derduku (Utara Lapangan Dasawarsa Kadipiro),https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/53/2023/10/25/051670200_1662693270-shutterstock_1887200683-3693363223.jpg
Nasi lotek telur,Indonesia,25550,"Lotek pedas Bu Tarti, Kasihan","4,9",Gang Derduku (Utara Lapangan Dasawarsa Kadipiro),https://down-id.img.susercontent.com/file/62ea35bd3a468c4ecbe7ca2b48ac6f86
Nasi ayam sambel bledek,Indonesia,24200,Penyetan Ijo & Sego Pecel Tumpangan Denok,"4,7","Blimbingsari Ct4 No 78 Rt 05 Catur tunggal, Depok Sleman",https://img-global.cpcdn.com/recipes/5060a52cda153379/680x482cq70/nasi-pecel-sambal-tumpang-khas-solo-foto-resep-utama.jpg
